Nombre,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AGNO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RBD,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
DGV_RBD,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
NOM_RBD,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
LET_RBD,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No
NUM_RBD,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No
COD_REG_RBD,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
COD_PRO_RBD,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí
COD_COM_RBD,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
NOM_COM_RBD,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
COD_DEPROV_RBD,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí
NOM_DEPROV_RBD,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí
COD_DEPE,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
COD_DEPE2,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
RURAL_RBD,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
ESTADO_ESTAB,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí
COD_ENSE,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
COD_ENSE2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí
APR_HOM_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_HOM_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_HOM_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_HOM_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_HOM_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_HOM_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_HOM_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_HOM_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_HOM_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_MUJ_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_MUJ_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_MUJ_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_MUJ_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_MUJ_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_MUJ_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_MUJ_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_MUJ_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_MUJ_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
APR_SI_01,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No
APR_SI_02,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No
APR_SI_03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí
APR_SI_04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
APR_SI_06,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No
APR_SI_07,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
APR_SI_TO,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí
REP_HOM_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_HOM_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_HOM_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_HOM_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_HOM_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_HOM_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_HOM_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_HOM_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_HOM_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_MUJ_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_MUJ_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_MUJ_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_MUJ_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_MUJ_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_MUJ_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_MUJ_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_MUJ_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_MUJ_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
REP_SI_01,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No
REP_SI_TO,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No
RET_HOM_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_HOM_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_HOM_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_HOM_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_HOM_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_HOM_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_HOM_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_HOM_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_HOM_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_MUJ_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
RET_SI_01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí
TRA_HOM_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_HOM_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_01,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_02,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_03,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_04,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_05,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_06,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_07,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_08,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_MUJ_TO,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
TRA_SI_01,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No
TRA_SI_02,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No
TRA_SI_TO,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No
SI_HOM_01,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_02,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_03,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_04,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_05,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_06,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No
SI_HOM_07,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_HOM_08,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No
SI_HOM_TO,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_01,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_02,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_03,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_04,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí
SI_MUJ_05,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí
SI_MUJ_06,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No
SI_MUJ_07,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
SI_MUJ_08,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No
SI_MUJ_TO,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí
PROM_ASIS_APR_HOM,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_APR_MUJ,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_APR_SI,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí
PROM_ASIS_APR,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_REP_HOM,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_REP_MUJ,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS_REP_SI,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No
PROM_ASIS_REP,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
PROM_ASIS,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí
